song,album,lyrics
successful,so-far-gone,"Money, money, cars, cars Clothes, clothes, the hoes I suppose, yeahI want the money, money and the cars, cars And the clothes, the hoes I suppose I just wanna be, I just wanna be successful I just wanna be, I just wanna be successful I just wanna be, I just wanna be successfulDrizzy, ah yeah, Trey, I fuckin' feel you They be starin' at the money like it's unfamiliar I get it, I live it, to me there's nothings realer Just enough to solve your problems, too much will kill yaAnd when I leave I always come right back here The young spit'a that everybody in rap fear A lot of y'all are still soundin' like last year The game needs change and I'm the mofucking cashierNickels for my thoughts, dimes in my bed Quarters of the kush shape the lines in my head Take my verses too serious, ya hate me 'Cause I'm the one to paint a vivid picture no HDYeah, I want it all, that's why I strive for it Dis me and you'll never hear a reply for it Any awards show or party I get fly for it I know that it's comin' I just hope that I'm alive for itI want the money, money and the cars, cars And the clothes, the hoes I suppose I just wanna be, I just wanna be successful I just wanna be, I just wanna be successful I just wanna be, I just wanna be successfulYeah, I want things to go my way But as of late a lot of shit been goin' sideways And my mother tried to runaway from home But I left somethin' in the car and so I caught her in the drivewayAnd she cried to me so I cried too And my stomach was soakin' wet, she only 5'2 And forty eight hours was all before I showed up And brought a thousand dollars worth of drinks and got pulled upDamn, my reality just set in And even when the Phantom's leased them hoes wanna get in I do a lot of things hopin' I neva have to fit in So tryin' to keep up with my progress is like a dead endMy girl love me but fuck it, my heart beat slow And right now the tour bus is lookin' like a freak show And life change for us every single week So it's good but I know this ain't the peak though 'cause I wantI want the money, money and the cars, cars And the clothes, the hoes I suppose I just wanna be, I just wanna be successful I just wanna be, I just wanna be successful I just wanna be, I just wanna be successfulWise words from a decent man Back when I was tryin' to put a ring on Alicia Hand This lost boy got fly without Peter Pan And my delivery just got me buzzin' like the pizza manIn person I am everything and more I'm everywhere these other niggas never been before But inside I'm treadin' waters steady tryin' to swim ashore I'm on a shoppin' spree to get whateva is in storeYeah, just call me ""Shop And Bag Drizzy"" And call me ""Mr. Damn"", he ain't copin' that is he And fans of these freshman is about to get iffy While this youngin' that you doubtin' is about to get busyI'ma kill it, I promise this, I know you mad I've always treated my city like some shoulder pads To big homie use a flash if you must And I swear I ain't askin' for much, all I want isI want the money, money and the cars, cars And the clothes, the hoes I suppose I just wanna be, I just wanna be successful I just wanna be, I just wanna be successful I just wanna be, I just wanna be successfulIt's like I know what I got to say I just don't know how to say it to youPardon the swag but bitches cartate Long bread, I don't eat shortcake How come I can't miss a woman Like I can't miss court datesCheese but she's not in this portrait Life's fine but I do not portray I'm on the other side but it is a sharp gate I don't want the glow, I want the glo'rayAnd I'ma fuck the world but this is just foreplay Tired of hearing bullshit, bring her on to cow shit Haven't met a smell that's stinkier than shit That's word to TorontoSo high up I got birds in the condo Ain't that a female dog Ask her who I am to her and she yell, God Weezy baby, I go real hard, no further details, boy"
best-i-ever-had,so-far-gone,"You know alot of girls be Thinkin' my songs are about them, butThis is not to get confused This one's for you Baby, you my everything You all I ever wanted We could do it real big Bigger than you ever done it You'll be up on everything Other hoes ain't ever on it I want this forever I swear I can spend whatever on it 'Cause she hold me down Every time I hit her upWhen I get rightI promise that we gon' live it up She made me beg for it'Til she give it up And I say the same thing every single time I say you the fuckin' best You the fuckin' best You the fuckin' best You the fuckin' best You the best I ever had Best I ever had Best I ever had Best I ever had I say you the fuckin'... Know you got a roommate Call me when there's no one there Put the key under the mat You know I'll be over there (Yup!) I'll be over there Shorty, I'll be over there I'll be hittin' all the spots that you ain't even know was there And you don't even have to ask twiceYou could have my heart or we can share it like the last slice Always felt like you was so accustomed to the fast life Have a nigga thinkin' that he met you in a past lifeSweatpants hair tied chillin' with no make-up on That's when you're the prettiest I hope that you don't take it wrong You don't even trip when friends say You ain't bringin' Drake along You know that I'm workin' I'll be there as soon as I make it home And she a patient in my waitin' room Never pay attention to the rumors and what they assumeAnd until them girls prove it I'm the one that never get confused wit causeBaby, you my everything You all I ever wantedWe could do it real big Bigger than you ever done itYou'll be up on everything Other hoes ain't ever on it I want this forever I swear I can spend whatever on it 'Cause she hold me down Every time I hit her up When I get right I promise that we gon' live it up She made me beg for it 'Til she give it upAnd I say the same thing every single time. I say you the fuckin' best You the fuckin' best You the fuckin' best You the fuckin' best You the best I ever hadBest I ever had Best I ever had Best I ever had I say you the fuckin'... Sex, love, pain, baby I be on that Tank shit Buzz so big I could probably sell a blank disc When my album drop, bitches'll buy it for the pictureAnd niggas'll buy it too and claim they got it for their sister Magazine, paper girl, but money ain't the issueThey bring dinner to my room and ask me to initial She call me 'the referee' cause I be so official My shirt ain't got no stripes but I can make your pussy whistle Like the Andy Griffith theme song And who told you to put them jeans on?Double cup love, you the one I lean on Feelin' for a fix, then you should really get your fiend onYeah, just know my condo is the crack spot Every single show she out there reppin' like a mascot Get it from the back and make your fuckin' bra strap pop All up in your slot 'til a nigga hit the jackpot I'm sayin' Baby, you my everything You all I ever wanted We could do it real big Bigger than you ever done itYou'll be up on everything Other hoes ain't ever on it I want this forever I swear I can spend whatever on it 'Cause she hold me down Every time I hit her up When I get right I promise that we gon' live it up She made me beg for it'Til she give it up And I say the same thing every single time I say you the fuckin' bestYou the fuckin' best You the fuckin' best You the fuckin' best You the best I ever had Best I ever had Best I ever had Best I ever had I say you the fuckin' best You the fuckin' best You the fuckin' best You the fuckin' best You the best I ever had Best I ever had Best I ever had Best I ever had I say you the f... Uh Oh yeah See this the type of joint you got to dedicate to somebody Just make sure they that special somebody Young money Yeah, yeah You know who you are... I got you"
uptown,so-far-gone,"Yeah.. Uh huhhhUh, Hardly Home But Always Reppin' You Hardly On And Always Second When I'm Awake, You Always Restin' And When They Call You The Answer You Will Hardly Question I... I'm Doin' Classic Shit In All My Sessions, Other Niggas Situations They Are All Depressin' That's Why I Never Follow Yall Suggestions I Just Always Did My Own Thing Now I Run The Game... You Stupid Mothasuckas I See All This 'Money' Through My Ohio State 'Buck'-Eyes Shit Been Goin' Good, But Good Could Turn To Better Cuz You The Type To Lose Her, And I'm About To Get HerIt's Okay, It's Okay, It's Okay, It's Okay, It's Okay, It's Okay You Could Run And Tell Ya Friends That I'm On I'm On, I'm On, I'm On, I'm On, I'm On Best Believe I Understand It's Okay It's Okay, It's Okay, It's Okay, It's Okay, It's Okay, You Could Run And Tell My City I'm On I'm On, I'm On, I'm On, I'm On, I'm On You Could Run And Tell My City It's OnYeah, Wrong Way Down A One Way Women Don't Get Saved 'Round Me Even On A Sunday, Damn, Where I Get It From These Niggas Always Wonder Who, Then They Meet My Pop And Tell Him, Drake Is Just A Younger You, And Shawty Wanna Party, So Don't Let Yo Girl Up Out The House Or They'll Be Shots On TMZ Of Me Givin' Her Mouth To Mouth, Now She's Famous And The Paparazzi Starts To Shoot Her, I Drive Two Black Cars I Named Them Malcom X And Martin Luther, I Don't Ever Play But I'm In The Game Lady, They Just Lose To Love, Those Are Tennis Games Lady Have Ya Countin' Money, Goin' Duffle Bag Crazy, Sippin' On Pink Floyd And Puffin' Wayne Brady, Damn, Whose Line Is It Anyways, I'm In A Daze, You've Been Amazed Ya'll Seem To Be Stuck On That Beginna Stage I'm On Fire, Yup I've Been Ablaze, I Got Dough To Blow, But I Wanna Blow It Right You Look Nice And Yo Frame Makes Me Wanna Bowl A Strike Well Alright, Yes I Might, Know What Fuck It, Yes I Will I am More Than What You Bargained For And Nothin' Less Than Real Put It To Ya LifeIt's Okay, It's Okay, It's Okay, It's Okay, It's Okay, It's Okay You Could Run And Tell Ya Friends That I'm On I'm On, I'm On, I'm On, I'm On, I'm On Best Believe I Understand It's Okay It's Okay, It's Okay, It's Okay, It's Okay, It's Okay You Could Run And Tell My City I'm On I'm On, I'm On, I'm On, I'm On, I'm On You Could Run And Tell My City It's OnBun B, King Of The Trill Also One Of The Dopest Whether The Streets Or On The Mic I'm Dope And Yes I'm Focused, The Gangstas Recognize Me For My Loc'ness No Joke It's, Time To Shake These Haters Off Like The Skin Of A Locust, Or Maybe Like A Python, That's The Type Of Shit I'm On I Wrote This On My iPhone, So Let Me Drop This iBomb, I, Palm The Game Like It's A Spalding Ball And Take Flight, From The Free Throw Line, And Slam It Down Like I'm The Great Mike Bun And Wayne And Drake In Here, Mayne It's Gon' Be A Great Night, Look At All These Posers Bite Our Swagger Like A Great White Try To Cross Me Over, I Just Fake Left Then I Break Right Stupid Animal Tricks Like David Letterman's Late Night, This That Major Moment You Been Waitin' On For Too Long, The Best That Ever Did It And Doin' It On A New Song, UGK And Young Money... Too Strong Bound To Be In The Green Like A Crouton So What The Fuck Is You On?It's Okay, It's Okay, It's Okay, It's Okay, It's Okay, It's Okay You Could Run And Tell Ya Friends That I'm On I'm On, I'm On, I'm On, I'm On, I'm On Best Believe I Understand It's Okay It's Okay, It's Okay, It's Okay, It's Okay, It's Okay You Could Run And Tell My City I'm On I'm On, I'm On, I'm On, I'm On, I'm On You Could Run And Tell My City It's OnYeaah, Yah I am The Leather Jacket, Black Glasses, All American Bad Boy I Own The Swagger Super Market, And You, You Just A Bag Boy Cuz I Got That Swag Boy The Swag You Never Had Boy Hate And I Will Leave Your Chest The Color My Flag Boy Suu Woo Bitch I Do This Shit I'll Erase You Like I Drew You Bitch And I Keep That Toaster, You Can Come And Be My Strudel Bitch I'm So Uptown And Muthafucka If You Ain't... Don't Go Uptown!! Yeeeeeaaaahh!! And Now I'm On That Rock Shit But Why They Let Me In... Imma Start Shootin' In The Mosh Pit, Haha... Fuck Is You Talkin' Bout? Weezy In Ya Mouth Now Weezy What You Talkin' BoutIt's Okay, It's Okay, It's Okay, It's Okay, It's Okay, It's Okay You Could Run And Tell Ya Friends That I'm On I'm On, I'm On, I'm On, I'm On, I'm On Best Believe I Understand It's Okay It's Okay, It's Okay, It's Okay, It's Okay, It's Okay You Could Run And Tell My City I'm On I'm On, I'm On, I'm On, I'm On, I'm On You Could Run And Tell My City It's OnYoung Mula Baby!It's Okay, It's Okay, It's Okay, It's Okay, It's Okay, It's Okay You Could Run And Tell Ya Friends That I'm On I'm On, I'm On, I'm On, I'm On, I'm On Best Believe I Understand It's Okay It's Okay, It's Okay, It's Okay, It's Okay, It's Okay You Could Run And Tell My City I'm On I'm On, I'm On, I'm On, I'm On, I'm On You Could Run And Tell My City It's On Yeah Uh huh"
im-going-in,so-far-gone,"Hello mothafucka, hey hi how ya durrn'? It's Weezy F Baby come to take a shit and urine On the toilet bowl bitches, pussy ass niggas Stomping on this beat like a motherfucking sigma Bad to the bristle, hat to the rizzle I'm so official all I need is a whistle Bitch named Crystal, let her suck my pistol She opened up her mouth and then I blew her brains out You ain't met a nigga like me, you probably never will Riders rolling with me, like 11 wheels Find out where you living, kill you in the kitchen The feds trying to clip us but we ain't even trippingI'm goin' in I'm goin' in I'm goin' in I'm goin' in And I'mma go hard And I'mma go hard And I'mma go hard And I'mma go hardI'm goin' in I'm goin' in I'm goin' in I'm goin' in And I'mma go hard And I'mma go hard And I'mma go hard And I'mma go hardFirst off You know what it is if you heard Drake Making hoes wobble like a bridge in a earthquake Never see me out Cause I live in my workplace I'll give you the business So button up your shirt straight Look at where I landed You would think I planned it I'm just doing me and you could never understand it Chicks get hammered Big dick bandit Money flowing like a slit wrist no bandage Blowing purple clouds nigga I'm so sky high I ain't cutting anybody slices outta my pie Outta this world though: I'm so sci-fi And I don't sit still I keep it moving like a drive-by I just tell the truth so I'm cool in every hood spot 21 years and I ain't ever met a good cop Me and Wayne lean like Kareem doing hook shots Cover me I'm goin' in and bucking when the hook dropI'm goin' in I'm goin' in I'm goin' in I'm goin' in And I'mma go hard And I'mma go hard And I'mma go hard And I'mma go hardI'm goin' in I'm goin' in I'm goin' in I'm goin' in And I'mma go hard And I'mma go hard And I'mma go hard And I'mma go hardHold up, wait one motherfucking minute It's the El Capitan I got motherfucking lieutenants If I said ""I'm goin' in"" then I motherfucking meant it And if I brought it in the club Then I'mma motherfucking spend it Cost a few hundred bands And I'm motherfucking in it No need for a room Yea you know I'm fucking in it She acting like she not, but she know she fucking winning She said, ""I seen it all"" I said, ""no you fucking didn't"" You ever bust 10 nuts in a 2-seater? She said ""I can't feel my legs"" I'm like ""bitch, me neither"" I'm goin' in Where should I begin? I don't even know, maybe where my blunt end And I'mma be a legend even when my life end And I'mma be a legend even when this life end Yea I do my thang, hop up out it like BEM! Bitch, I said I'm him, so I'm nothing like them I'm goin' in!I'm goin' in I'm goin' in I'm goin' in And I'mma go hard And I'mma go hard And I'mma go hard And I'mma go hardBitch,  I'm goin' in I'm goin' in I'm goin' in I'm goin' in And I'mma go hard And I'mma go hard And I'mma go hard And I'mma go hard"
the-calm,so-far-gone,"Uh, I'm just so far gone, october's own, Please leave me alone Drunk off champagne screamin' in the phone See my house is not a home, fuck is goin' on Where did we go wrong, where do we belong Caught up in the game and it's one I can't postpone Meaning if it rains I'm the one it's raining on When my diamond chain is on still nothing set in stone Women borrow sweaters that I spray with my cologne And tell me don't forget 'em and I promise that I won't Feelin' so distant from everyone I've known To make everybody happy I think I would need a clone Places we get flown, parties that we've thrown I've done more for this city then these rappers that have blown It's only been 3 Years look at how I've grown I'm just in my zone, I call this shit the calm Yea, but I'm the furthest thing from calm Dedicated to my mom, and I swear my word is bond Everything will be ok and it won't even take that long You can see it in my face or even read it on my palm Leader of the new school it's proven and it's known I'm sittin' in a chair but in the future it's a throne I know you like to worry it'll be better if you don't cause...You know, everything gone be alright, I promise. A Pologize to you know, to put ya'll in this position and vent to ya'll but... 40 mom always say, ""Don't ask permisson, just ask forgiveness"" You know, so... forgive me.Uh, And life is so insane, look what I've became, tryna make a name All my first dates are interrupted by my fame Because every picture taken is a fan that you can gain They love it when you smile unaware that it's a strain It's a curse you gotta live with when you born to entertain Women need attention and fore women will complain Develop hatred for men and say that your the one to blame Tryna enjoy myself with Taz in miami at the game I just wish he knew how much it really weighed like dwayne It's a weight that's on my chest whoever spottin' me is playin' So I'm liftin' all alone try not to get a sprain Hopin' western union doing currency exchange Cause my dad called and got me feelin' guilty and ashamed Like, how I had a Rolls and I went and got a Range And he payin' for his cigarettes with dollars and some change Damn, and I could only feel his pain Cause in memphis tennessee there's only so much to attain So I'm fillin' out the form at the counter once a-gain He say he love me I just hope he doesn't say that shit in vain I'm why ya girl heart is in a slang Call me heartbreak Drake I'm the hardest one to tame As a man I'm just honest as a artist I'm a king With my own set of problems that be sittin' on my brain Yea, And see this is the thang What they viewing as braggin' is the way that I maintain The shit I write while staring out the window of a plane Is the single handed reason I Remain...Me, Yea... Uh, I said I call this shit the calm. But I'm the furthest thing from calm. I swear I'm puttin' on but they always wanna ask what type of act you puttin' on like... Man."
fear,so-far-gone,"This is why I do this shit I think they call this, ventingLook, This is me, still the same They want the hits, I play the game No auto-tune, but you can feel the pain It all comes spilling out like I hit a vein What up, Lil' Bruh? What up, Slum Ville? I hope you know that y'all the reason I have fun still The fans thinking that we all signed for mil Equal opportunity rappin', that shit is unreal That ain't how it works, that ain't how it goes And I been gettin' high just to balance out the lows And I could use a writer just to balance out my flows But I never share my thoughts this is all a nigga knows And everytime I try, it opens up my eyes These verses are a chance to be remembered and reprised And I will be performin' this as long as I'm alive So every word I utter will be mine: Don't believe the lies. Look me in my eyes Please don't be scared of me. Please don't be scared of me. I remember you.This feeling isn't new.So please don't be scared of me. Please don't be scared of me. Oh oh oh oh oh yeah I never cried when Pac died But I probably will when Hov does And if tears hold value Then I will drop one for every single thing he showed usAnd I'll be standing in a puddle. I stay away from niggas that could land me in some troubleAnd I'mma keep it honest, I'm so tired of being subtle It's just me, Forty, O and Neek standing in a huddle Staring at the members of my team Who get questioned about they profit From this million dollar scheme Just know that I'm in debt for you defending all our dreams I hope you tell your family this shit ain't what it seems But y'all the reason for a lot of my devotion. You know I spend money because spending time is hopeless And know I pop bottles cuz i bottle my emotions. At least I put it all in the open: Dont believe the lies. Look me in my eyes. Please don't be scared of me.Please don't be scared of me. I remember you. This feeling isnt new.So please don't be scared of me. Please don't be scared of me. oh oh oh oh oh yeah Look. Fuck all y'all, we ignore feelings herePremature millionaires Welcome to my realest year. Yeah, I swear that we making a killing here I should be on top of the world just chillin' hereBut it's funny having fans Who find you before anybody ever has the chance And build you up, so you could be the biggest in the game And realize when you're there sometimes the shit don't feel the same Yeah, and plus things are just surreal at home People think I've changed just cause my appeal has grown And now security follows me everywhere So I never actually am alone, I just always feel alone I think I'm scared of what the future holds I was wishing for some things and now am used to those. Every girl I meet thinks im fucking groupie hoes. The honesty of my music has left me too exposed. All my old friends think i got a new crowd. And people seem to notice every time I do smile. I guess that mean they come few and far between. Even though I'm living out what you would call the dream. Yeah. And my uncle aint even messaging me. And him missing in my life is kind of messing with me. I hope this isnt one of those forever things. Its funny how money can change everything.: Dont believe the lies. Look me in my eyes. Please dont be scared of me. Please dont be scared of me. I remember you. This feeling isnt new. So please dont be scared of me. Please dont be scared of me."
fireworks,thank-me-later,"Money just changed everything, I wonder how life without it would go? From the concrete, who knew that a flower would grow? Lookin' down from the top and it's crowded below My fifteen minutes started an hour agoTruth over fame, you know I respect the blatant shit When I hear talkin', I just don't know what to make of it Hate is so familiar to me, I'm slowly embracin' it Doesn't come natural, bear with me, it could take a bitYeah, and my dreams are who I'm racing with As you can see I'm pacin' it so that I'm always chasin' it Wayne put me right here, that's who I get the paper with I hope that my success never alters our relationshipYeah, this life is something I would die for October's on but it's lookin' like July four I just wish they'd let you try it first This time I'm really goin' off, fireworksOh, today it begins I've missed them before But won't miss them again I keep having the same dream And I think I just realized what it meansAll I see is fireworks, all I see is fireworks Every night is fireworks, every night is fireworks All I see is fireworks, all I see is fireworks Taking off like fireworks, taking off likeI'm just such a gentleman, you should give it up for me Look at how I'm placing all my napkins and my cutlery I could tell it wasn't love, I just thought you fuck with me Who coulda predicted lucky strike would have you stuck with meDamn, I kept my wits about me, luckily What happened between us that night, it always seems to trouble me Now all of a sudden, these gossip rags wanna cover me And you making it seem that it happened that way because of meBut I was curious And I'll never forget it, baby, what an experience You coulda been the one but it wasn't that serious There was smoke in the air before that was me clearing itThat felt good, all and all I learned a lesson from it, though You never see it coming you just get to see it go Yeah, I shoulda looked up in the sky at first Now I see it in her eyes, fireworksOh, today it begins I've missed them before But won't miss them again I keep having the same dream And I think I just realized what it meansAll I see is fireworks, all I see is fireworks Every night is fireworks, every night is fireworks All I see is fireworks, all I see is fireworks Taking off like fireworks, taking off likeEverything the same but it feels different My dad called me up knowing that I still listen And he's still got his foot out, guilt trippin' It's been years though, I just learn to deal with itFor real, me and my realtor, we built up a better rapport Got my mother in a place with some better decor She searched the entire city, I let her explore And now she sayin' she more lonely than ever beforeHow many of our parents' marriages lasted? I was only 5, I bet I barely reacted I'm flying back home for the Heritage Classic Searching for that feeling, tell me, where is the magic?Let's stay together 'til we're ghosts I wanna witness love, I never seen it close Yeah, but I guess I gotta find it first That's why I'm really going off, fireworksOh, today it begins I've missed them before But won't miss them again I keep having the same dream And I think I just realized what it meansAll I see is fireworks, all I see is fireworks Every night is fireworks, every night is fireworks All I see is fireworks, all I see is fireworks Taking off like fireworks, taking off like"
the-resistance,thank-me-later,"I know way too many people here right now that I didn't know last year who the fuck are y'all? I swear it feels like the last few nights we've been everywhere and back but I just can't remember it all what am I doing, what am I doing?oh yeah thats right, I'm doing me, I'm doing me I'm living life right now man and this what I'm do 'til it's over 'til it's over, it's far from overalright, bottles on me long as someone drink it never drop the ball, fuck y'all thinking making sure the young money ship is never sinking bout to set it off in this bitch Jada Pinkett I shouldn't have drove, tell me how I'm getting home you too fine to be laying down in bed alone I can teach you how to speak my language Rosetta stone I swear this life is like the sweetest thing I've ever known got to go thriller Mike Jackson on these n'ggasall I need is a fucking red jackets with some zippers super good smidoke a package of the swishas I did it over night, it couldn't happen any quicker y'all know them, but fuck it me either but point the biggest skeptic out I'll make them a believerit wouldn't be the first time I've done it throwing hundreds when I should be throwing ones bitch I run it ahhUhhh, one thing bout music when it hits you feel no pain and I swear I got this shit that makes these bitches go insane so they tell me that they love me I know better than that it's just game it's just what comes from fame and I'm ready for that I'm just saying I really can't complain, everything is kosher two thumbs up, ebert and roeper I really can't see the end getting any closer but I'll probably still be the man when everything is over so I'm riding through the city with my high beams oncan you see me can you see me get your visine on y'all just do not fit the picture turn your widescreen on if you thinking Imma quit before I die dream on man they treat me like a legend am I really this cold I'm really too young to be feeling this old it's about time you admit it who you kidding man nobody's ever done it like I did it ahh"
over,thank-me-later,"I know way too many people here right now That I didn't know last year, who the fuck are y'all? I swear it feels like the last few nights we've been everywhere and back But I just can't remember it allWhat am I doing? What am I doing? Oh yeah, that's right, I'm doin' me, I'm doin' me I'm living life right now, man, and this what I'mma do 'til it's over'Til it's over But it's far from overAlright, bottles on me, long as someone drink itNever drop the ball, fuck it y'all thinkin'? Makin' sure the Young Money ship is never sinkin' 'Bout to set it off in this bitch, Jada Pinkett I shouldn't have drove, tell me how I'm getting home?You too fine to be layin' down in bed alone I could teach you how to speak my language, Rosetta Stone I swear this life is like the sweetest thing I've ever known Got the gold thriller, Mike Jackson on these niggasAll I need's a fucking red jacket with some zippers Super-good smidoke, a package of the Swisher's I did it overnight, it couldn't happen any quicker Y'all know them? Well, fuck it, me eitherPoint the biggest skeptic out, I'll make him a believer It wouldn't be the first time I done it throwin' hundreds When I should be throwin' ones, bitch, I run itI know way too many people here right now That I didn't know last year Who the fuck are y'all? I swear it feels like the last few nights we've been everywhere and backBut I just can't remember it all What am I doing? What am I doing? Oh yeah, that's right, I'm doin' me, I'm doin' meI'm living life right now, man, and this what I'mma do 'til it's over 'Til it's over But it's far from overOne thing about music, when it hits you feel no pain And I swear I got the shit that makes these bitches go insane So they tell me that they love me, I know better than that, it's just game It's what comes with the fame and I'm ready for that, I'm just sayin'I really can't complain, everything is kosher Two thumbs up Ebert and Roper I really can't see the end getting any closerBut I'll probably still be the man when everything is over So I'm riding through this city with my high-beams on Can you see me? Can you see me? Get your Visine on Y'all just do not fit the picture, turn your wise friend onIf you thinkin' I'mma quit before I die, dream on Man, they treat me like a legend, am I really this cold? I'm really too young to be feeling this old It's about time you admit it, who you kiddin'?And nobody's ever done it like I did itI know way too many people here right now That I didn't know last year, who the fuck are y'all? I swear it feels like the last few nights we've been everywhere and back But I just can't remember it all What am I doing? What am I doing? Oh yeah, that's right, I'm doin' me, I'm doin' me I'm living life right now, man, and this what I'mma do 'til it's over 'Til it's over But it's far from overYeah, that's right, I'm doin' me, I'm doin' me I'm living life right now, man, and this what I'mma do 'til it's over 'Til it's over But it's far from over"
show-me-a-good-time,thank-me-later,"How did I end up right here with you After all the things that I been through Its been one of those days You tryin' forget aboutTake a shot and let it outLet's get right Now that I'm here baby Show me a good time (oh yeah, oh yeah) Show me a good time (oh yeah, oh yeah) Show me a good Show me a good Show me a good time (oh yeah, oh yeah)I live for the nights that I can't remember, With the people that I won't forget Spending all the money I just work my ass off For the things that I won't regret I've been waiting way too long long long long Tellin' everybody that I know we about to be on on on on I ain't tryin' look like I lie to these niggas that I came up with That's my team, never would I let a woman come between What we doing right now This our dream, Wu Tang Clan niggas want that cream I'm the Osirus of the shit right now Go to god for the hits right now Whatever you wanna drink girl pick right now If you can't hold your liquor you better quit right nowHow did I end up right here with you After all the things that I been through Its been one of those days You tryin' forget about Take a shot and let it out Let's get right Now that I'm here baby Show me a good time (oh yeah, oh yeah) Show me a good time (oh yeah, oh yeah) Show me a good Show me a good Show me a good time (oh yeah, oh yeah)How 'bout you and all your morals and that outfit that you borrowed Make the most out of tonight and worry 'bout it all tomorrow Understand girl, we fam' girl Can't get me right and not do Wayne Cash money young money pop champagne Presidential suite girl Barrack Hussain Tell me can we kick it like Ali Shaheed and Phife Dawg People really hate when a backpack rapper get rich And start livin' that life dawg Feels like when you gettin' to that paper hip hop hates ya They would do it just like I do if they could Its in our nature Ah, young and rich and out of control Out in LA blowing clouds of that killer I came up in the underground though So I'm a spend another ten thousand for Dilla Call me over-rated or created or too jaded Because any way you put it bitch I made it, yup!How did I end up right here with you After all the things that I been through Its been one of those days You tryin' forget about Take a shot and let it out Let's get right Now that I'm here baby Show me a good time (oh yeah, oh yeah) Show me a good time (oh yeah, oh yeah) Show me a good Show me a good Show me a good time (oh yeah, oh yeah)Show me a good time (oh yeah, oh yeah) Show me a good time (oh yeah, oh yeah) Show me a good Show me a good Show me a good time (oh yeah, oh yeah)"
